Radius (km),Revenue,Transport,Spoilage,Net Profit
10,1600000.0,21941.60268811297,8000.0,66058.397311887
15,2400000.0,35692.57309514109,12000.0,96307.42690485902
20,3200000.0,50408.565827667786,16000.0,125591.43417233229
25,4000000.0,65886.48777351287,20000.0,154113.51222648704
30,4800000.0,82000.0,24000.0,182000.0
35,5600000.0,98662.01931968515,112000.0,125337.98068031482
40,6400000.0,115808.47328800347,128000.0,140191.52671199664
45,7200000.0,133390.02785731692,144000.0,154609.97214268334
50,8000000.0,151367.40024393296,400000.0,-71367.40024393331
55,8800000.0,169708.49188310636,440000.0,-81708.49188310653
60,9600000.0,188386.53021951372,480000.0,-92386.53021951392
65,10400000.0,207378.80840090878,1040000.0,-623378.8084009085
70,11200000.0,226665.798586416,1120000.0,-674665.7985864151
75,12000000.0,246230.5089661934,1200000.0,-726230.5089661926
80,12800000.0,266058.00552129524,1280000.0,-778058.0055212956
